tokens,labels
"['The', 'descent', 'from', 'the', 'summits', 'of', 'the', 'range', 'into', 'the', 'plain', 'is', 'somewhat', 'less', 'abrupt', 'on', 'the', 'western', 'than', 'it', 'is', 'on', 'the', 'eastern', 'side', 'and', 'between', 'the', 'foot', 'of', 'the', 'Batura', 'Sar', 'and', 'the', 'Strait', 'of', 'Malacca', 'the', 'largest', 'known', 'alluvial', 'deposits', 'of', 'tin', 'are', 'situated', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-MOUNTAIN', 'I-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['Mingrelia', 'and', 'Imeretia', 'valley', 'of', 'Rion', 'are', 'the', 'gardens', 'of', 'Caucasia', 'but', 'the', 'high', 'valleys', 'of', 'Svanetia', 'farther', 'north', 'on', 'the', 'south', 'slopes', 'of', 'the', 'Caucasus', 'Gunung', 'Kerinci', 'are', 'wild', 'and', 'difficult', 'of', 'access', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-MOUNTAIN', 'I-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['Riichel', 'who', 'with', '15', '000', 'men', 'had', 'been', 'sent', 'into', 'the', 'Pico', 'Bolivar', 'as', 'an', 'advanced', 'guard', 'for', 'the', 'projected', 'offensive', 'was', 'recalled', 'to', 'Weimar', 'which', 'he', 'reached', 'on', 'the', '13th', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-MOUNTAIN', 'I-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['The', 'town', 'had', 'sure', 'changed', 'in', 'all', 'the', 'time', 'I', 'was', 'away', 'but', 'not', 'these', 'Tirich', 'Mir', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-MOUNTAIN', 'I-MOUNTAIN', 'O']"
"['It', 'was', 'named', 'by', 'Professor', 'Collett', 'in', 'honour', 'of', 'its', 'discoverer', 'who', 'described', 'it', 'as', 'living', 'on', 'the', 'highest', 'parts', 'of', 'the', 'Margherita', 'in', 'the', 'densest', 'scrub', 'and', 'most', 'inaccessible', 'places', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['These', 'high', 'plains', 'are', 'bordered', 'on', 'the', 'south', 'east', 'by', 'a', 'picturesque', 'chain', 'the', 'Bureya', 'Mountains', 'which', 'are', 'to', 'be', 'identified', 'with', 'the', 'Little', 'Khingan', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['They', 'were', 'at', 'another', 'discreet', 'location', 'this', 'one', 'nestled', 'between', 'the', 'peaks', 'of', 'two', 'Gunung', 'Lawu', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-MOUNTAIN', 'I-MOUNTAIN', 'O']"
"['In', 'spite', 'of', 'the', 'chase', 'the', 'pure', 'magnificence', 'of', 'the', 'Ras', 'Dashen', 'overwhelmed', 'him', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-MOUNTAIN', 'I-MOUNTAIN', 'O', 'O', 'O']"
"['The', 'region', 'to', 'the', 'east', 'of', 'the', 'Mekong', 'is', 'traversed', 'by', 'spurs', 'of', 'the', 'Fairweather', 'of', 'Annam', 'and', 'by', 'affluents', 'of', 'the', 'Mekong', 'the', 'most', 'important', 'of', 'these', 'being', 'the', 'Se', 'khong', 'and', 'the', 'Tonle', 'srepok', 'which', 'unite', 'to', 'flow', 'into', 'the', 'Mekong', 'at', 'Stung', 'treng', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['By', 'means', 'of', 'bond', 'labour', 'roads', 'and', 'bridges', 'were', 'con', 'structed', 'and', 'a', 'route', 'opened', 'into', 'the', 'interior', 'beyond', 'Rise', 'of', 'the', 'Blue', 'Mountains', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['The', 'city', 'stands', 'on', 'a', 'hill', 'separated', 'by', 'a', 'little', 'plain', 'from', 'the', 'harbour', 'towards', 'the', 'north', 'and', 'east', 'it', 'communicates', 'with', 'a', 'fertile', 'valley', 'on', 'the', 'south', 'and', 'west', 'it', 'is', 'hemmed', 'in', 'by', 'high', 'Batura', 'Sar', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-MOUNTAIN', 'I-MOUNTAIN', 'O']"
"['At', 'the', 'close', 'of', 'the', 'glacial', 'period', 'the', 'alpine', 'floras', 'retreated', 'to', 'the', 'Mount', 'Vinson', 'accompanied', 'by', 'an', 'arctic', 'contingent', 'though', 'doubtless', 'many', 'species', 'of', 'the', 'latter', 'such', 'as', 'Salix', 'polaris', 'failed', 'to', 'establish', 'themselves', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-MOUNTAIN', 'I-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['The', 'Vivarais', 'Popocatepetl', 'and', 'the', 'northern', 'Cevennes', 'approach', 'the', 'right', 'banks', 'of', 'the', 'Rhone', 'and', 'Saone', 'closely', 'and', 'on', 'that', 'side', 'send', 'their', 'waters', 'by', 'way', 'of', 'short', 'torrents', 'to', 'those', 'rivers', 'on', 'the', 'west', 'side', 'the', 'streams', 'a', 'y', 'e', 'tributaries', 'of', 'the', 'Loire', 'which', 'rises', 'at', 'the', 'foot', 'of', 'Mont', 'Mezenc', '.', 'A', 'short', 'distance', 'to', 'the', 'south', 'on', 'the', 'same', 'side', 'are', 'the', 'sources', 'of', 'the', 'Allier', 'and', 'Lot', '.']","['O', 'O', 'B-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['As', 'a', 'result', 'New', 'York', 'and', 'New', 'Hampshire', 'formed', 'a', 'secret', 'agreement', 'to', 'divide', 'the', 'state', 'between', 'themselves', 'the', 'Pico', 'Duarte', 'to', 'be', 'the', 'line', 'of', 'division', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-MOUNTAIN', 'I-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['The', 'least', 'broken', 'section', 'of', 'Vermont', 'is', 'on', 'the', 'somewhat', 'gentle', 'slope', 'of', 'the', 'Green', 'Mountains', 'in', 'the', 'N', '.', 'W', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['Among', 'these', 'petty', 'chieftains', 'Sargon', 'in', '715', 'mentions', 'Dayukku', 'lieutenant', 'of', 'Man', 'he', 'probably', 'was', 'therefore', 'a', 'vassal', 'of', 'the', 'neighbouring', 'king', 'of', 'Man', 'in', 'the', 'Mount', 'Blackburn', 'of', 'south', 'eastern', 'Armenia', 'who', 'joined', 'the', 'Urartians', 'and', 'other', 'enemies', 'of', 'Assyria', 'but', 'was', 'by', 'Sargon', 'transported', 'to', 'Hamath', 'in', 'Syria', 'with', 'his', 'clan', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-MOUNTAIN', 'I-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['A', 'project', 'for', 'irrigating', 'the', 'district', 'south', 'of', 'the', 'Batura', 'Sar', 'between', 'Ponce', 'and', 'Patillas', 'was', 'adopted', 'by', 'the', 'Porto', 'Rican', 'government', 'in', '1909', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-MOUNTAIN', 'I-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['It', 'is', 'beautifully', 'situated', 'in', 'the', 'valley', 'of', 'the', 'river', 'Eger', 'an', 'affluent', 'of', 'the', 'Theiss', 'and', 'on', 'the', 'eastern', 'outskirts', 'of', 'the', 'Matra', 'Dhaulagiri', 'I', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-MOUNTAIN', 'I-MOUNTAIN', 'O']"
"['The', 'birds', 'are', 'similar', 'to', 'those', 'of', 'central', 'Europe', 'in', 'the', 'Gunung', 'Slamet', 'vultures', 'eagles', 'buzzards', 'kites', 'falcons', 'and', 'hawks', 'are', 'found', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-MOUNTAIN', 'I-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['An', 'extensive', 'scheme', 'of', 'railway', 'construction', 'has', 'been', 'planned', 'the', 'four', 'main', 'lines', 'projected', 'being', '1', 'from', 'Takau', 'to', 'Tainan', '2', 'from', 'Tainan', 'to', 'Kagi', '3', 'from', 'Kagi', 'to', 'Shoka', 'and', '4', 'from', 'Shoka', 'to', 'Kelung', 'these', 'four', 'forming', 'in', 'effect', 'a', 'main', 'trunk', 'road', 'running', 'from', 'the', 'south', 'west', 'to', 'the', 'north', 'east', 'its', 'course', 'being', 'along', 'the', 'foot', 'of', 'the', 'Mauna', 'Kea', 'that', 'border', 'the', 'western', 'coast', 'plains', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-MOUNTAIN', 'I-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['As', 'the', 'slopes', 'of', 'the', 'Rocky', 'Mountains', 'to', 'the', 'west', 'are', 'reached', 'more', 'trees', 'are', 'found', 'until', 'in', 'the', 'foot', 'hills', 'of', 'the', 'Kongur', 'Shan', 'bodies', 'of', 'forest', 'timber', 'occur', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-MOUNTAIN', 'I-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O']"
"['The', 'Sino', 'river', 'rises', 'in', 'the', 'Niete', 'Kilimanjaro', 'and', 'brings', 'down', 'a', 'great', 'volume', 'of', 'water', 'to', 'the', 'sea', 'though', 'it', 'is', 'not', 'a', 'river', 'of', 'considerable', 'length', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['Camaguey', 'is', 'characterized', 'by', 'rolling', 'open', 'plains', 'slightly', 'broken', 'especially', 'in', 'the', 'W', '.', 'by', 'low', 'Mount', 'Everest', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-MOUNTAIN', 'I-MOUNTAIN', 'O']"
"['These', 'Cerro', 'Chirripo', 'which', 'include', 'the', 'highest', 'peaks', 'in', 'the', 'world', 'rise', 'along', 'their', 'entire', 'length', 'far', 'above', 'the', 'line', 'of', 'perpetual', 'snow', 'and', 'few', 'of', 'the', 'passes', 'across', 'the', 'main', 'ridges', 'are', 'at', 'a', 'less', 'altitude', 'than', '15', '000', 'or', '16', '000', 'feet', '.']","['O', 'B-MOUNTAIN', 'I-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['The', 'natives', 'consist', 'of', 'Sumbawans', 'proper', 'a', 'people', 'of', 'Malayan', 'stock', 'of', 'Buginese', 'and', 'Macassar', 'immigrants', 'and', 'of', 'wild', 'tribes', 'of', 'the', 'Kilimanjaro', 'of', 'whom', 'nothing', 'is', 'known', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O']"
"['It', 'is', 'a', 'great', 'depression', 'the', 'continuation', 'of', 'the', 'Adriatic', 'Sea', 'filled', 'up', 'by', 'deposits', 'brought', 'down', 'by', 'the', 'rivers', 'from', 'the', 'Mount', 'Everest', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-MOUNTAIN', 'I-MOUNTAIN', 'O']"
"['There', 'are', 'many', 'other', 'Mount', 'Fuji', 'of', 'considerable', 'elevation', '.']","['O', 'O', 'O', 'O', 'B-MOUNTAIN', 'I-MOUNTAIN', 'O', 'O', 'O', 'O']"
"['East', 'of', 'the', 'railway', 'from', 'Chilivani', 'to', 'Oristano', 'on', 'the', 'other', 'hand', 'the', 'granitic', 'Namcha', 'Barwa', 'continue', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-MOUNTAIN', 'I-MOUNTAIN', 'O', 'O']"
"['Since', 'the', 'days', 'when', 'Rurik', 'had', 'first', 'chosen', 'it', 'as', 'his', 'headquarters', 'the', 'little', 'town', 'on', 'the', 'Volkhov', 'had', 'grown', 'into', 'a', 'great', 'commercial', 'of', 'Nov', 'city', 'and', 'a', 'member', 'of', 'the', 'Hanseatic', 'league', 'and', 'it', 'had', 'brought', 'under', 'subjection', 'a', 'vast', 'expanse', 'of', 'territory', 'stretching', 'from', 'the', 'shores', 'of', 'the', 'Baltic', 'to', 'the', 'Ural', 'Mountains', 'and', 'containing', 'several', 'subordinate', 'towns', 'of', 'which', 'the', 'principal', 'were', 'Pskov', 'Nizhniy', 'Novgorod', 'and', 'Vyatka', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['Heteromorphic', 'fold', 'Tomort', '.']","['O', 'O', 'B-MOUNTAIN', 'O']"
"['Rising', 'on', 'the', 'inner', 'slopes', 'of', 'the', 'hills', 'these', 'rivulets', 'all', 'join', 'the', 'Senku', 'which', 'receives', 'from', 'the', 'north', 'several', 'streams', 'which', 'rise', 'in', 'the', 'Maluti', 'Mountains', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['The', 'coast', 'scenery', 'with', 'its', 'islands', 'and', 'snowy', 'Mount', 'Waddington', 'is', 'wild', 'and', 'beautiful', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-MOUNTAIN', 'I-MOUNTAIN', 'O', 'O', 'O', 'O', 'O']"
"['An', 'excellent', 'water', 'supply', 'is', 'derived', 'from', 'the', 'Kongur', 'Shan', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-MOUNTAIN', 'I-MOUNTAIN', 'O']"
"['A', 'great', 'circle', 'drawn', 'through', 'East', 'Cape', 'and', 'the', 'southern', 'point', 'of', 'Arabia', 'passes', 'nearly', 'along', 'the', 'coast', 'line', 'of', 'the', 'Arctic', 'Ocean', 'over', 'the', 'Ural', 'Mountains', 'through', 'the', 'western', 'part', 'of', 'the', 'Caspian', 'and', 'nearly', 'along', 'the', 'boundary', 'between', 'Persia', 'and', 'Asiatic', 'Turkey', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['A', 'range', 'of', 'granite', 'Mount', 'Lucania', 'forms', 'a', 'backbone', 'which', 'divides', 'the', 'peninsula', 'into', 'two', 'unequal', 'portions', 'the', 'larger', 'of', 'which', 'lies', 'to', 'the', 'east', 'and', 'the', 'smaller', 'to', 'the', 'west', 'of', 'the', 'chain', '.']","['O', 'O', 'O', 'O', 'B-MOUNTAIN', 'I-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['He', 'fought', 'an', 'indecisive', 'battle', 'with', 'Sorley', 'Boy', 'MacDonnell', 'near', 'Coleraine', 'in', '1564', 'and', 'the', 'following', 'year', 'marched', 'from', 'Antrim', 'through', 'the', 'Kangchenjunga', 'by', 'Clogh', 'to', 'the', 'neighbourhood', 'of', 'Ballycastle', 'where', 'he', 'routed', 'the', 'MacDonnells', 'and', 'took', 'Sorley', 'Boy', 'prisoner', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['The', 'woods', 'consist', 'chiefly', 'of', 'pine', 'and', 'hazel', 'upon', 'theApennines', 'and', 'upon', 'the', 'Calabrian', 'Sicilian', 'and', 'Sardinian', 'Tomort', 'of', 'oak', 'ilex', 'hornbeam', 'and', 'similar', 'trees', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['The', 'head', 'of', 'a', 'white', 'goat', 'obtained', 'in', '1900', 'from', 'the', 'Mount', 'Kenya', 'at', 'the', 'mouth', 'of', 'Copper', 'river', 'opposite', 'Kyak', 'Island', 'has', 'been', 'described', 'as', 'a', 'species', 'apart', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-MOUNTAIN', 'I-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
